28,32,1,0.000868333
28,32,2,0.000867889
28,64,1,0.000810222
28,64,2,0.000810222
28,92,1,0.000867778
28,92,2,0.000636556
28,128,1,0.000694444
28,128,2,0.000925556
28,192,1,0.000810333
28,192,2,0.000752333
28,256,1,0.000868111
28,256,2,0.000752333
56,32,1,0.000752556
56,32,2,0.000636444
56,64,1,0.000867889
56,64,2,0.000694444
56,92,1,0.000983889
56,92,2,0.000984
56,128,1,0.000752
56,128,2,0.000810444
56,192,1,0.00081
56,192,2,0.000868
56,256,1,0.000925889
56,256,2,0.000752444
112,32,1,0.000983889
112,32,2,0.000752222
112,64,1,0.000809889
112,64,2,0.000810222
112,92,1,0.000810222
112,92,2,0.000810333
112,128,1,0.000983556
112,128,2,0.000752333
112,192,1,0.000926
112,192,2,0.000868
112,256,1,0.000694444
112,256,2,0.000694444
224,32,1,0.00081
224,32,2,0.000752333
224,64,1,0.000752222
224,64,2,0.000868
224,92,1,0.000752111
224,92,2,0.000810444
224,128,1,0.00104156
224,128,2,0.000983889
224,192,1,0.000752222
224,192,2,0.000926111
224,256,1,0.000694111
224,256,2,0.000867889