28,32,1,0.169156
28,32,2,0.146413
28,64,1,0.172397
28,64,2,0.129572
28,92,1,0.0587967
28,92,2,0.0596064
28,128,1,0.0974542
28,128,2,0.0596069
28,192,1,0.0511578
28,192,2,0.0587967
28,256,1,0.172802
28,256,2,0.0632526
56,32,1,0.0600697
56,32,2,0.175753
56,64,1,0.0585072
56,64,2,0.104051
56,92,1,0.131077
56,92,2,0.0615743
56,128,1,0.0620952
56,128,2,0.047801
56,192,1,0.0591438
56,192,2,0.169966
56,256,1,0.0494793
56,256,2,0.133797
112,32,1,0.132118
112,32,2,0.0675931
112,64,1,0.116146
112,64,2,0.0935188
112,92,1,0.0567132
112,92,2,0.132003
112,128,1,0.0541667
112,128,2,0.0592014
112,192,1,0.057928
112,192,2,0.0433453
112,256,1,0.0587966
112,256,2,0.0479169
224,32,1,0.0583338
224,32,2,0.0482639
224,64,1,0.117246
224,64,2,0.101389
224,92,1,0.0570602
224,92,2,0.0518517
224,128,1,0.096644
224,128,2,0.173033
224,192,1,0.0641206
224,192,2,0.0663193
224,256,1,0.13316
224,256,2,0.0487848