224,3,7,2,112,12544,64,147
56,64,1,1,56,3136,64,64
56,64,3,1,56,3136,64,576
56,64,1,1,56,3136,256,64
56,64,1,1,56,3136,256,64
56,256,1,1,56,3136,64,256
56,64,3,1,56,3136,64,576
56,64,1,1,56,3136,256,64
56,256,1,1,56,3136,64,256
56,64,3,2,28,784,64,576
28,64,1,1,28,784,256,64
28,256,1,1,28,784,128,256
28,128,3,1,28,784,128,1152
28,128,1,1,28,784,512,128
28,256,1,1,28,784,512,256
28,512,1,1,28,784,128,512
28,128,3,1,28,784,128,1152
28,128,1,1,28,784,512,128
28,512,1,1,28,784,128,512
28,128,3,1,28,784,128,1152
28,128,1,1,28,784,512,128
28,512,1 96,512,128
14,512,1,1,14,196,256,512
14,256,3,1,14,196,256,2304
14,256,1,1,14,196,1024,256
14,512,1,1,14,196,1024,512
14,1024,1,1,14,196,256,1024
14,256,3,1,14,196,256,2304
14,256,1,1,14,196,1024,256
14,1024,1,1,14,196,256,1024
14,256,3,1,14,196,256,2304
14,256,1,1,14,196,1024,256
14,1024,1,1,14,196,256,1024
14,256,3,1,14,196,256,2304
14,256,1,1,14,196,1024,256
14,1024,1,1,14,196,256,1024
14,256,3,1,14,196,256,2304
14,256,1,1,14,196,1024,256
14,1024,1,1,14,196,256,1024
14,256,3,2,7,49,256,2304
7,256,1,1,7,49,1024,256
7,1024,1,1,7,49,512,1024
7,512,3,1,7,49,512,4608
7,512,1,1,7,49,2048,512
7,1024,1,1,7,49,2048,1024
7,2048,1,1,7,49,512,2048
7,512,3,1,7,49,512,4608
7,512,1,1,7,49,2048,512
7,2048,1,1,7,49,512,2048
7,512,3,1,7,49,512,4608
7,512,1,1,7,49,2048,512
1,2048,1,1,1,1,1000,2048